source,destination,distance_km,base_time_hr,road_type,road_type_code,src_lat,src_lon,dst_lat,dst_lon
Jaipur,Delhi,235.3,4.28,regional,1,26.9124,75.7873,28.6139,77.209
Delhi,Jaipur,235.3,4.28,regional,1,28.6139,77.209,26.9124,75.7873
Jaipur,Agra,221.9,4.03,regional,1,26.9124,75.7873,27.1767,78.0081
Agra,Jaipur,221.9,4.03,regional,1,27.1767,78.0081,26.9124,75.7873
Jaipur,Ajmer,125.1,2.27,regional,1,26.9124,75.7873,26.4499,74.6399
Ajmer,Jaipur,125.1,2.27,regional,1,26.4499,74.6399,26.9124,75.7873
Jaipur,Noida,239.8,4.36,regional,1,26.9124,75.7873,28.5355,77.391
Noida,Jaipur,239.8,4.36,regional,1,28.5355,77.391,26.9124,75.7873
Jaipur,Gurgaon,210.9,3.83,regional,1,26.9124,75.7873,28.4595,77.0266
Gurgaon,Jaipur,210.9,3.83,regional,1,28.4595,77.0266,26.9124,75.7873
Jaipur,Lucknow,511.7,6.82,highway,2,26.9124,75.7873,26.8467,80.9462
Lucknow,Jaipur,511.7,6.82,highway,2,26.8467,80.9462,26.9124,75.7873
Jaipur,Kanpur,454.4,6.06,highway,2,26.9124,75.7873,26.4499,80.3319
Kanpur,Jaipur,454.4,6.06,highway,2,26.4499,80.3319,26.9124,75.7873
Jaipur,Varanasi,739.0,9.85,highway,2,26.9124,75.7873,25.3176,82.9739
Varanasi,Jaipur,739.0,9.85,highway,2,25.3176,82.9739,26.9124,75.7873
Jaipur,Prayagraj,626.5,8.35,highway,2,26.9124,75.7873,25.4358,81.8463
Prayagraj,Jaipur,626.5,8.35,highway,2,25.4358,81.8463,26.9124,75.7873
Jaipur,Jodhpur,284.8,3.8,highway,2,26.9124,75.7873,26.2389,73.0243
Jodhpur,Jaipur,284.8,3.8,highway,2,26.2389,73.0243,26.9124,75.7873
Jaipur,Udaipur,331.8,4.42,highway,2,26.9124,75.7873,24.5854,73.7125
Udaipur,Jaipur,331.8,4.42,highway,2,24.5854,73.7125,26.9124,75.7873
Jaipur,Kota,189.0,3.44,regional,1,26.9124,75.7873,25.2138,75.8648
Kota,Jaipur,189.0,3.44,regional,1,25.2138,75.8648,26.9124,75.7873
